HP 8591E ROM Strings Index
File    : all_fixed.bin
Min len : 5 chars
Total   : 5532 strings  (3146 real-text, 2386 code-noise)

================================================================================
SECTION 1 — Real Text Strings (3146 entries)
  Region codes: V=Vectors  C=Code  D=Data  S=Strings  E=Empty
================================================================================
    Offset    Len  Rgn  String
  0x000211b6      7  [D]  S@`4pha
  0x000211cf      6  [D]  b` p`a
  0x00021463      6  [D]  .~#SGf
  0x000219c9      6  [C]  FILTNB
  0x000219e7      6  [C]  POLE2Q
  0x000219f5      6  [C]  POLE3Q
  0x00021a1f      7  [S]  CALBOTH
  0x00021a33     29  [S]  LF;AUNITS DBM;CF300MZ;SP10MZ;
  0x00021a51     15  [S]  Narrow RBW VCXO
  0x00021a71     11  [S]  RL-20DM;LN;
  0x00021a7d    100  [S]  E1;MKCF;SP0;VB100KZ;  RB300;DET SMP;AUNITS DBM;ST20MS; ,TWNDOW TRB,HANNING;FFT TRA,TRA,TRB;VIEW TRA;
  0x00021ae3     24  [S]  MKREAD FFT;MKPK;MKPK NH;
  0x00021b0b     25  [D]  `\tCLRW TRA;\rMKPK;MKPK NH;
  0x00021b25     15  [D]  NBW VCXO failed
  0x00021b39     15  [D]  NBW VCXO failed
  0x00021b4f      6  [D]  TRAfff
  0x00021b57     22  [D]  SMOOTH TRA,39;M1;M2; `
  0x00021c6d      6  [D]  rg$p%N
  0x00022263      6  [S]  EXTTV`
  0x0002256b      6  [C]  *N^ _T
  0x000225d5      6  [C]  ^N^ _T
  0x0002349a      6  [C]  CLBF=F
  0x00024a62     58  [D]  N^Nu5Cannot engage phase\r\nlock with current\r\nCAL FREQ data
  0x00024af9      9  [D]  FILTNB lT
  0x00024b1d      7  [C]  NBWLO =
  0x00024b39      6  [C]  FAST->
  0x00024b41      6  [C]  SLOW->
  0x00025a94      8  [C]  "<tjS(-A
  0x00025de7      7  [C]  peaking
  0x00025df3     21  [C]  MOV TRC,TRA;VIEW TRC;
  0x00025e09      8  [S]  SRCAT16;
  0x00025e13      8  [S]  SRCAT10;
  0x00025e1d      7  [S]  SRCAT0;
  0x00025e25      6  [S]  SRCPWR
  0x00025e35     31  [S]  CF300MZ SP0;RB300KZ;AUNITS DBM;
  0x00025e55     25  [S]  SRCAT0;SRCPWR-21;SRCTKPK;
  0x00025e6f     48  [S]  SRCAT0;SRCPWR-15;SRCTKPK;\nSRCPWR-15; \tSRCPWR-5;}
  0x00025ea1     78  [S]  RL10;SRCAT0;SRCPWR-36;SRCPSWP80;  RL10;SRCAT0;SRCPWR-30;SRCPSWP80; \nTRA[1,251]
  0x00025f01     55  [S]  RL0;SRCAT0;SRCPSWP0; \nSRCPWR-16; \nSRCPWR-10; \tSRCPWR-6;
  0x00025f39     10  [S]  SRCPWR0; @
  0x00025f4b     17  [S]  CF800MZ SP1500MZ;
  0x00025f5d     31  [S]  CF300MZ;SP0;RB300KZ;ST20MS;RL0;
  0x00025f7d     41  [S]  RL-20; !RB AUTO;ST AUTO;CF1.45GZ;SP2.8GZ;
  0x00025fa7     26  [S]  CF1.45GZ;SP2.8GZ;SRCPWR-5;
  0x00026373      6  [C]  XN^ _T
  0x00026913      6  [D]  ZN^ _T
  0x00026b08      6  [D]  B@Nu 8
  0x00026ba8      6  [D]  B@Nu 8
  0x00026cec      6  [D]  HP859X
  0x00026ede      6  [C]  HzD> <
  0x000270c4      7  [D]  B@N^ _T
  0x00027160      6  [C]  HzCD <
  0x000271b6      7  [C]  B@N^ _T
  0x00027564      6  [C]  pB@`DN
  0x00027980      7  [C]  FLE VTT
  0x00028542     14  [C]  N^NuFUNCDEF NV
  0x00028730      6  [C]  g\n|d=F
  0x00028843      6  [C]  LHz.zA
  0x00028fe8      6  [C]  JFg( n
  0x00029054      6  [C]  Hz$t <
  0x000290a3      7  [C]  >Hz&t n
  0x000290c4      6  [C]  Hz&X n
  0x000290d3      7  [C]  DHz&V n
  0x000290ef      7  [C]  hHz&> n
  0x0002910b      7  [C]  LHz&& n
  0x000291a9      9  [C]  *l&RF8FHl
  0x000291d5      9  [C]  *o<Hz%l n
  0x00029304      6  [C]  Hz$F n
  0x0002953e      8  [C]  f~Hz"4 n
  0x00029b9f      6  [C]  BN^ _P
  0x00029c06     12  [C]  adlstiADLSTI
  0x0002a30a      6  [C]  B@NuJn
  0x0002ae45      6  [D]  LHz\n,A
  0x0002b321      6  [S]  RES BW
  0x0002b33d      6  [S]  CENTER
  0x0002b37e     13  [S]  ADC-TIME FAIL
  0x0002b38d     12  [S]  ADC-GND FAIL
  0x0002b39b     21  [S]  ADC-2V FAIL\tOVEN COLD
  0x0002b3b1     26  [S]  PG \nFREQ UNCAL \nMEAS UNCAL
  0x0002b3db     12  [S]  WA SB\r\nSC FC
  0x0002b3f3     32  [S]  TG UNLVL \nREF UNLOCK \ndummy xxxx
  0x0002b417      8  [S]  LO UNLVL
  0x0002b421     11  [S]  SMPLR UNLCK
  0x0002b42d     14  [S]  USING DEFAULTS
  0x0002b43d     12  [S]  Marker Count
  0x0002b44b     12  [S]  Widen RES BW
  0x0002b459     15  [S]  self-cal needed
  0x0002b46a      8  [S]  LOCK OFF
  0x0002b475     12  [S]  K=\tDIRECTORY
  0x0002b48b     17  [S]  NO CARD\tBAD MEDIA
  0x0002b4a1     16  [S]  CARD \nDATA ERROR
  0x0002b4bb     14  [S]  Purge complete
  0x0002b4cb     30  [S]  TYPE \n NOT FOUND \nFILENAME:  Q
  0x0002b4ed     11  [S]  Reduce SPAN
  0x0002b553      6  [S]  DDFADC
  0x0002b55b      7  [S]  TGATTEN
  0x0002b579     17  [S]  FRQEXT \tLO OUTPUT
  0x0002b5a3      8  [S]  NBWCOUNT
  0x0002b5bd      7  [S]  DDFWREV
  0x0002b5d1      8  [S]  PARALLEL
  0x0002b5e7      6  [S]  RS232A
  0x0002b5ef      6  [S]  RS232B
  0x0002b5f7      6  [S]  TVPICT
  0x0002b603     42  [S]  DEMOD/TV \tDEMOD/QPD\nGATE Rev A \nGATE Rev B
  0x0002b62f     11  [S]  GROUP DELAY
  0x0002b63b     16  [S]  DD/FADC\tDDFW rev
  0x0002b64d     28  [S]  UFP A\nTV Picture \nDelete CNT
  0x0002b66f     11  [S]  DECT Source
  0x0002b67b     15  [S]  HPIB + Parallel
  0x0002b68b     16  [S]  RS232 + Parallel
  0x0002b69d     14  [S]  #\rFirmware rev
  0x0002b6b3      6  [S]  loaded
  0x0002b6c1      6  [S]  TRD[1,
  0x0002b6d9     24  [S]  File type incompatible d
  0x0002b6fd     12  [S]  DLP;HP8590A;
  0x0002b70b      7  [S]  NO ROOM
  0x0002b747     15  [S]  TITLE\tAMPCOR;HP
  0x0002b757      6  [S]  AMPCOR
  0x0002b763      6  [S]  AMPCOR
  0x0002b76f      6  [S]  LIMITS
  0x0002b777      6  [S]  STA;HP
  0x0002b77f      8  [S]  DSPLY;HP
  0x0002b79f      6  [S]  TRMATH
  0x0002b7a7      7  [S]  ONCYCLE
  0x0002b7af      7  [S]  ONDELAY
  0x0002b7c3      6  [S]  ONTIME
  0x0002b7cb      7  [S]  ONPWRUP
  0x0002b7f9      6  [S]  UNUSED
  0x0002b825     17  [S]  prefix*\nINTERNAL:
  0x0002b839     10  [S]  ST/TR REG:
  0x0002b85b     10  [S]  ON EVENTS:
  0x0002b867      6  [S]  ACTIVE
  0x0002b875     64  [S]  SEC \r ON CYCLE OF \t AT DATE \t AT TIME \n UNDEFINED \rNo card found
  0x0002b8b7     24  [S]  Disk catalog unavailable
  0x0002c3ac      6  [C]  l<BE6n
  0x0002c9aa      8  [C]  DFJFg^08
  0x0002d4dd      6  [C]  Po\nB@1
  0x0002d858      8  [C]  mBRF8F0n
  0x0002d8b0      8  [C]  lDJ@m@<.
  0x0002dd33      6  [D]  BN^ _X
  0x0002dd5b      6  [D]  TN^ _X
  0x0002dd83      6  [D]  ,N^ _X
  0x0002e23b      6  [C]  (SFJFl
  0x0002e4f0      6  [D]  DFRF08
  0x0002f11d     17  [S]  No points defined
  0x0002f167      8  [S]  RELATIVE
  0x0002f17b     26  [S]  PT   FREQUENCY   AMPLITUDE
  0x0002f197     15  [S]  SEG  START_TIME
  0x0002f1a9     15  [S]  SEG  START_FREQ
  0x0002f1bb     15  [S]  LOWER_AMP  TYPE
  0x0002f1cb     15  [S]  UPPER_AMP  TYPE
  0x0002f1db     26  [S]  MIDDL_AMP  DELTA_AMP  TYPE
  0x0002f1f7     26  [S]  UPPER_AMP  LOWER_AMP  TYPE
  0x0002f23d     16  [S]  SEDI;\nTABLE FULL
  0x0002f257      8  [S]  LIMISEGT
  0x0002f261      7  [S]  LIMISEG
  0x0002f269      6  [S]  UNSPEC
  0x0002f271     16  [S]  LIMIDEL;LIMILINE
  0x0002f283     27  [S]  ;LIMIREL ON; \r;LIMIREL OFF;
  0x0002f29f     15  [S]  LIMIHALF UPPER;
  0x0002f2af     15  [S]  LIMIHALF LOWER;
  0x0002f2bf      7  [S]  SENTERT
  0x0002f2c7      6  [S]  SENTER
  0x0002f2cf     27  [S]  LIMITEST ON; \rLIMITEST OFF;
  0x0002f2eb     29  [S]  LIMIDISP AUTO; \rLIMIDISP OFF;
  0x0002f309     15  [C]  LIMIDISP UPPER;
  0x0002f319     15  [C]  LIMIDISP LOWER;
  0x0002f329     12  [C]  LIMIDISP ON;
  0x0002f337      8  [C]  LIMILINE
  0x0003021f      6  [C]  HN^ _\
  0x000304b0      6  [C]  SDBE6.
  0x000307ee      6  [C]  yxXO8n
  0x00031561     20  [D]  FM or TV option only
  0x000315ca     32  [D]  GZMZKZHZDBDMSCMSUSMVUV/#& //#& &
  0x00031804      6  [C]  J@od<8
  0x00031896      6  [C]  JFo"=|
  0x0003195f      6  [C]  ^N^ _X
  0x00031f24      7  [C]  hzN^ _T
  0x00032266      7  [C]  "x\nz-q`
  0x0003231c      6  [C]  J@mP8x
  0x000324a6      6  [C]  /8\nh x
  0x000324ea      6  [C]  /8\nh x
  0x00032c19      6  [C]  XN^ _T
  0x00032f3c      6  [C]  HzLh n
  0x00032f76      6  [C]  HzL8 n
  0x00033066      6  [C]  HzKl n
  0x0003308a      6  [C]  HzKR n
  0x000330ae      6  [C]  HzK8 n
  0x00033152      7  [C]  BTN^ _X
  0x00033d3e      6  [C]  JTl^ .
  0x00033e9d      7  [C]  @f\nBT&n
  0x00034012      7  [D]  g\n0<ONN
  0x000342ac      6  [C]  4N^ _T
  0x000342be     13  [C]  LTLEEQNEGEGTO
  0x0003440c      6  [C]  hbNu0.
  0x000344b6      6  [C]  Hz7p <
  0x00034c8b      8  [C]  D"x\nt"q@
  0x00035644      6  [C]  "x\nJ 1
  0x00035a1e      6  [D]  Hz"H0n
  0x00035a40      6  [D]  Hz".0n
  0x00035b3e      6  [C]  Hz!@ <
  0x000360ac      6  [C]  hb`t08
  0x00036186      7  [C]  n4SDJDo
  0x0003662e      6  [C]  yxR@=@
  0x000367ea      6  [C]  f\n=|OA
  0x0003681c      7  [C]  "x\nz-q`
  0x00036b12      6  [C]  yxR@=@
  0x00036c7e      7  [C]  "x\nz-q`
  0x00036fcf      6  [C]  PN^ _P
  0x000370bc      7  [C]  "x\nz-q`
  0x000373f8      7  [D]  3 # # H
  0x00037b01      8  [S]  CMD ERR:
  0x00037b0b     16  [S]  PARAMETER ERROR:
  0x00037b1d      7  [S]  INVALID
  0x00037b47     49  [S]  CONFLICT TABLE OVERFLOW\rEMPTY DLP MEM\rSTART INDEX
  0x00037b7b     10  [S]  STOP INDEX
  0x00037b89     19  [S]  RANGE: Stop < Start
  0x00037b9f      6  [S]  AMPCOR
  0x00037ba7      8  [S]  LIMILINE
  0x00037bd5      8  [S]  TITLESTR
  0x00037bdf      8  [S]  PREFXSTR
  0x00037be9      7  [S]  CATNAME
  0x00037bf1      7  [S]  __EDBUF
  0x00037bf9      7  [S]  LOGCORR
  0x00037c01      8  [S]  NLOGCORR
  0x00037c17     16  [S]  COMPARE OPERATOR
  0x00037c29     14  [S]  : IF STATEMENT
  0x00037c39     12  [S]  BLOCK FORMAT
  0x00037c47     23  [S]  SOFTKEY OVFL \nUNDF KEY:
  0x00037c61      6  [S]  REPEAT
  0x00037c69      6  [S]  REPEAT
  0x00037c77     20  [S]  MEM OVFL \nNEST LEVEL
  0x00037c8d     17  [S]  USTATE \nCHECKSUM:
  0x00037cb0     12  [S]  VALUE PARAM:
  0x00037cbf     11  [S]  STORE DEST:
  0x00037cd1     15  [S]  INVALID SCRMOVE
  0x00037ce4     43  [S]  )Memory Overflow: ERASE DLP MEM and reload`
  0x00038421      6  [C]  LN^ _T
  0x00038cba      7  [D]  "x\nz-q`
  0x00038cda      7  [D]  "x\nz-q`
  0x00039075      6  [C]  xN^ _\
  0x00039438      6  [D]  J@oP(n
  0x0003944c      7  [D]  "x\nz-q`
  0x00039557      6  [C]  fN^ _X
  0x000395e3     15  [C]  UNDF ONCMD FCN:
  0x000395f5     21  [C]  ONCMD: LIMIT EXCEEDED
  0x0003960b     24  [S]  ONCMD REFERENCE COMMAND:
  0x00039625     15  [S]  INVALID COMMAND
  0x00039637     14  [S]  ONCMD FUNCDEF:
  0x00039647     13  [S]  NOT DEFINED `
  0x000399f0      7  [C]  B@N^ _X
  0x0003a062     23  [C]  OAOLOTDRMAMFTSTATBLBTRY
  0x0003a2b8      7  [C]  oJ0<#AN
  0x0003a384      6  [C]  J@n\nBn
  0x0003a5e1      6  [C]  (`VJ@f
  0x0003a78f      7  [D]  THz)v/.
  0x0003af42      6  [C]  JFo08|
  0x0003af90      6  [C]  Hz!2 <
  0x0003afa0      6  [C]  Hz!> <
  0x0003b04d      6  [C]  ^N^ _T
  0x0003b2be      8  [C]  gbY@`P 8
  0x0003b3c3      6  [D]  "N^ _X
  0x0003b677      6  [C]  LN^ _X
  0x0003bf00      8  [C]  J@gBS@(n
  0x0003c196      6  [C]  J@f\n<8
  0x0003c546      6  [C]  J@nr?<
  0x0003c556      6  [C]  J@nb?<
  0x0003c64b      6  [C]  \RF8FI
  0x0003cecf      6  [C]  PKSORT
  0x0003cee9      8  [C]  MKDLMODE
  0x0003cef3     19  [C]  PKDLMODE \tFFTPCTAMR
  0x0003cf07      7  [S]  FFTSTAT
  0x0003cf0f      8  [S]  FFTPCTAM
  0x0003cf19      7  [S]  FFTCLIP
  0x0003cf21      7  [S]  FFTSTOP
  0x0003cf29      6  [S]  PKZMOK
  0x0003cf31      6  [S]  PKZOOM
  0x0003cf3f      7  [S]  NDBPNTR
  0x0003cf47      6  [S]  PCTAMR
  0x0003cf53      6  [S]  NDBPNT
  0x0003cf65      8  [S]  ACPLOWER
  0x0003cf6f      6  [S]  ACPERR
  0x0003cf77      6  [S]  ACPMAX
  0x0003cf7f      8  [S]  ACPPWRTX
  0x0003cf89      8  [S]  ACPUPPER
  0x0003cf93      6  [S]  ACPMKA
  0x0003cfa7      7  [S]  OBWFERR
  0x0003cfaf      8  [S]  OBWUPPER
  0x0003cfb9      8  [S]  OBWLOWER
  0x0003cfc3      6  [S]  OBWPWR
  0x0003cfdd      6  [S]  ACPPAR
  0x0003cff7      6  [S]  OBWPCT
  0x0003d003      7  [S]  GDRVPRI
  0x0003d00b      7  [S]  GDRVRBW
  0x0003d013      6  [S]  GDRVST
  0x0003d01b      8  [S]  GDRVGLEN
  0x0003d025      8  [S]  GDRVREFE
  0x0003d02f      8  [S]  GDRVUTIL
  0x0003d039      8  [S]  GDRVGDEL
  0x0003d043      6  [S]  GDRVGT
  0x0003d04b      7  [S]  GDRVSWP
  0x0003d053      8  [S]  GDRVPWID
  0x0003d05d      8  [S]  GDRVSWDE
  0x0003d067      8  [S]  GDRVGTIM
  0x0003d071      7  [S]  GDRVVBW
  0x0003d089      6  [S]  TRMATH
  0x0003d091      7  [S]  ONCYCLE
  0x0003d099      7  [S]  ONDELAY
  0x0003d0ad      6  [S]  ONTIME
  0x0003d0b5      7  [S]  ONMODEX
  0x0003d0bd      6  [S]  ONMKRU
  0x0003d0c5      7  [S]  DLPINIT
  0x0003d0d3      7  [S]  ONPWRUP
  0x0003d0e1      7  [S]  DLPTERM
  0x0003d0ea      8  [S]  KEYNAME:
  0x0003d0f5      7  [S]  VARDEF:
  0x0003d0ff      7  [S]  KEYLBL:
  0x0003d10b     11  [S]  TRACE NAME:
  0x0003d145      6  [S]  ACTDEF
  0x0003d14d      7  [S]  ACTDEF:
  0x0003d157     18  [S]  SYMBOL:  \tNESTING:
  0x0003d16b     21  [S]  EXECUTION: \nFUNCTION:
  0x0003d1b5      6  [S]  VARDEF
  0x0003d1c5      6  [S]  KEYCMD
  0x0003d1cd      6  [S]  KEYDEF
  0x0003d1d9      7  [S]  FUNCDEF
  0x0003d1e7      6  [S]  KEYLBL
  0x0003d23d      6  [S]  dBuV/m
  0x0003d245      7  [S]  -dBuV/m
  0x0003d24d      6  [S]  dBuA/m
  0x0003d255      7  [S]  -dBuA/m
  0x0003d273      6  [S]  HOLD `
  0x0003d3e4      7  [D]  phN^ _T
  0x0003d5a1      9  [C]  *l&RB8BHl
  0x0003d6d2      7  [D]  oxN^ _T
  0x0003d9e4      6  [D]  <tjS(N
  0x0003ddb7      6  [C]  lf@ LN
  0x0003df28      6  [C]  J@ov?.
  0x0003dfc6      6  [C]  dV%J-@
  0x0003e4d8      6  [C]  hbNuJn
  0x0003ef6e      6  [C]  hbNu0.
  0x0003f4c6      6  [D]  J@o\n<.
  0x0003f94a      6  [C]  J@f"(n
  0x0004010d      6  [C]  $L&H8n
  0x00040314      8  [C]  lfJFob0<
  0x000404b2     15  [C]  N^Nu\nTRACENAME:
  0x000404c3     16  [C]  NUMBER\t REGISTER
  0x000404db      6  [C]  SAVE P
  0x0004052f      6  [S]  MKPX @
  0x00040555      6  [S]  PK-PIT
  0x0004055d      6  [S]  PK-AVG
  0x00040569      6  [S]  TRACE:
  0x00040571      7  [S]  CLRW A;
  0x00040579      7  [S]  MXMH A;
  0x00040581      7  [S]  VIEW A;
  0x00040589      8  [S]  BLANK A;
  0x00040593      7  [S]  CLRW B;
  0x0004059b      7  [S]  MXMH B;
  0x000405a3      7  [S]  VIEW B;
  0x000405ab      8  [S]  BLANK B;
  0x000405b5      7  [S]  VIEW C;
  0x000405bd      8  [S]  BLANK C;
  0x000405c7      7  [S]  CLRW C;
  0x000405cf      7  [S]  MINH C;
  0x0004060d     10  [C]  PWRUPOB; ?
  0x0004061e     12  [C]  ABCDEmoLsH Q
  0x0004068b      6  [C]  DUMMY`
  0x000419ec      6  [C]  n$SE6.
  0x00041a72      6  [C]  SF8FSL
  0x00041d51      8  [C]  AMPCOR }
  0x00041e60      6  [C]  $gwX%(
  0x000420b0      7  [C]  w#_-wlN
  0x000424d1      6  [C]  jN^ _P
  0x0004291b      7  [C]  HANNING
  0x00042923      7  [C]  UNIFORM
  0x0004292b      8  [C]  FLATTOP@
  0x00042952     12  [C]  WINDOW TYPE:
  0x000429bf      7  [C]  _BBHBHA
  0x00042aee      7  [C]  HCH@HA8
  0x00042b34      9  [C]  UEB@BAR@4
  0x00042ba4      7  [C]  UCHD<00
  0x00042bc8      6  [C]  DDHD?B
  0x00042c60      7  [D]  HBHC<0@
  0x00043179      6  [C]  L <fff
  0x00043376      7  [C]  J@g.p0N
  0x000441be      8  [C]  \jZ|o\n <
  0x0004456e     10  [C]  HzWZHzWZ <
  0x00044afc      7  [C]  \jRFo L
  0x0004549a      6  [C]  yxR@(n
  0x0004607e     10  [C]  HzAtHz<J <
  0x000460b1      8  [C]  \HzA@Hz<
  0x00046c72      6  [C]  Hz0Z <
  0x00046e12      6  [C]  TO`d8n
  0x00047354      6  [D]  S@`H <
